feature,status,removal_reason,missing_pct,importance_score
TransactionDT,removed,high_correlation,0.0,
dist2,removed,high_missing,93.63,
C1,removed,high_correlation,0.0,
C4,removed,high_correlation,0.0,
C6,removed,high_correlation,0.0,
C7,removed,high_correlation,0.0,
C8,removed,high_correlation,0.0,
C10,removed,high_correlation,0.0,
C11,removed,high_correlation,0.0,
D1,removed,high_correlation,0.21,
D6,removed,high_correlation,87.61,
D7,removed,high_missing,93.41,
D12,removed,high_correlation,89.04,
V1,removed,low_variance,47.29,
V11,removed,high_correlation,47.29,
V14,removed,low_variance,12.88,
V15,removed,high_correlation,12.88,
V16,removed,high_correlation,12.88,
V18,removed,high_correlation,12.88,
V21,removed,high_correlation,12.88,
V27,removed,low_variance,12.88,
V28,removed,high_correlation,12.88,
V30,removed,high_correlation,12.88,
V31,removed,high_correlation,12.88,
V32,removed,high_correlation,12.88,
V33,removed,high_correlation,12.88,
V34,removed,high_correlation,12.88,
V41,removed,low_variance,28.61,
V42,removed,high_correlation,28.61,
V49,removed,high_correlation,28.61,
V50,removed,high_correlation,28.61,
V51,removed,high_correlation,28.61,
V57,removed,high_correlation,13.06,
V60,removed,high_correlation,13.06,
V63,removed,high_correlation,13.06,
V65,removed,low_variance,13.06,
V68,removed,low_variance,13.06,
V70,removed,high_correlation,13.06,
V71,removed,high_correlation,13.06,
V73,removed,high_correlation,13.06,
V80,removed,high_correlation,15.1,
V88,removed,low_variance,15.1,
V89,removed,low_variance,15.1,
V91,removed,high_correlation,15.1,
V92,removed,high_correlation,15.1,
V95,removed,high_correlation,0.05,
V96,removed,high_correlation,0.05,
V97,removed,high_correlation,0.05,
V101,removed,high_correlation,0.05,
V102,removed,high_correlation,0.05,
V103,removed,high_correlation,0.05,
V104,removed,high_correlation,0.05,
V105,removed,high_correlation,0.05,
V106,removed,high_correlation,0.05,
V107,removed,low_variance,0.05,
V108,removed,low_variance,0.05,
V110,removed,low_variance,0.05,
V111,removed,low_variance,0.05,
V112,removed,low_variance,0.05,
V113,removed,low_variance,0.05,
V117,removed,low_variance,0.05,
V118,removed,low_variance,0.05,
V119,removed,low_variance,0.05,
V120,removed,low_variance,0.05,
V121,removed,low_variance,0.05,
V122,removed,low_variance,0.05,
V126,removed,high_correlation,0.05,
V127,removed,high_correlation,0.05,
V128,removed,high_correlation,0.05,
V132,removed,high_correlation,0.05,
V133,removed,high_correlation,0.05,
V134,removed,high_correlation,0.05,
V144,removed,high_correlation,86.12,
V145,removed,high_correlation,86.12,
V148,removed,high_correlation,86.12,
V149,removed,high_correlation,86.12,
V151,removed,high_correlation,86.12,
V153,removed,high_correlation,86.12,
V155,removed,high_correlation,86.12,
V157,removed,high_correlation,86.12,
V159,removed,high_correlation,86.12,
V163,removed,high_correlation,86.12,
V164,removed,high_correlation,86.12,
V167,removed,high_correlation,76.36,
V168,removed,high_correlation,76.36,
V177,removed,high_correlation,76.36,
V178,removed,high_correlation,76.36,
V179,removed,high_correlation,76.36,
V180,removed,high_correlation,76.32,
V190,removed,high_correlation,76.36,
V192,removed,high_correlation,76.36,
V196,removed,high_correlation,76.36,
V202,removed,high_correlation,76.36,
V203,removed,high_correlation,76.36,
V204,removed,high_correlation,76.36,
V206,removed,high_correlation,76.36,
V211,removed,high_correlation,76.36,
V212,removed,high_correlation,76.36,
V213,removed,high_correlation,76.36,
V214,removed,high_correlation,76.36,
V215,removed,high_correlation,76.36,
V216,removed,high_correlation,76.36,
V217,removed,high_correlation,77.91,
V218,removed,high_correlation,77.91,
V219,removed,high_correlation,77.91,
V221,removed,high_correlation,76.05,
V224,removed,high_correlation,77.91,
V231,removed,high_correlation,77.91,
V233,removed,high_correlation,77.91,
V234,removed,high_correlation,76.05,
V236,removed,high_correlation,77.91,
V240,removed,low_variance,77.91,
V241,removed,low_variance,77.91,
V242,removed,high_correlation,77.91,
V248,removed,high_correlation,77.91,
V250,removed,high_correlation,76.05,
V253,removed,high_correlation,77.91,
V255,removed,high_correlation,76.05,
V266,removed,high_correlation,77.91,
V269,removed,high_correlation,77.91,
V270,removed,high_correlation,76.05,
V272,removed,high_correlation,76.05,
V279,removed,high_correlation,0.0,
V280,removed,high_correlation,0.0,
V291,removed,high_correlation,0.0,
V293,removed,high_correlation,0.0,
V294,removed,high_correlation,0.0,
V295,removed,high_correlation,0.0,
V296,removed,high_correlation,0.21,
V297,removed,high_correlation,0.0,
V298,removed,high_correlation,0.0,
V299,removed,high_correlation,0.0,
V304,removed,high_correlation,0.0,
V305,removed,low_variance,0.0,
V306,removed,high_correlation,0.0,
V307,removed,high_correlation,0.0,
V308,removed,high_correlation,0.0,
V316,removed,high_correlation,0.0,
V317,removed,high_correlation,0.0,
V318,removed,high_correlation,0.0,
V322,removed,high_correlation,86.05,
V323,removed,high_correlation,86.05,
V324,removed,high_correlation,86.05,
V326,removed,high_correlation,86.05,
V327,removed,high_correlation,86.05,
V329,removed,high_correlation,86.05,
V331,removed,high_correlation,86.05,
V332,removed,high_correlation,86.05,
V334,removed,high_correlation,86.05,
id_07,removed,high_missing,99.13,
id_08,removed,high_missing,99.13,
id_18,removed,high_missing,92.36,
id_21,removed,high_missing,99.13,
id_22,removed,high_missing,99.12,
id_23,removed,high_missing,99.12,
id_24,removed,high_missing,99.2,
id_25,removed,high_missing,99.13,
id_26,removed,high_missing,99.13,
id_27,removed,high_missing,99.12,
V282,removed,low_importance,0.21,0.0015748138539493084
